Default,checkingstatus1,duration,history,purpose,amount,savings,employ,status,others,residence,property,age,otherplans,housing,cards,job,liable,foreign,duration_missing,residence_missing,cards_missing,age_group,debt_duration_ratio
0,0,6.0,4,4,1169,4,4,2,0,4.0,0,67,2,1,2.0,2,1,0,0,0,0,3,167.0
1,1,48.0,2,4,5951,0,2,1,0,2.0,0,22,2,1,1.0,2,1,0,0,0,0,0,121.44897959183673
0,3,12.0,4,7,2096,0,3,2,0,3.0,0,49,2,1,1.0,1,2,0,0,0,0,2,161.23076923076923
0,0,42.0,2,3,7882,0,3,2,2,4.0,1,45,2,2,1.0,2,2,0,0,0,0,1,183.30232558139534
1,0,24.0,3,0,4870,0,2,2,0,4.0,3,53,2,2,2.0,2,2,0,0,0,0,2,194.8
0,3,36.0,2,7,9055,4,2,2,0,4.0,3,35,2,2,1.0,1,2,0,0,0,0,1,244.72972972972974
0,3,24.0,2,3,2835,2,4,2,0,4.0,1,53,2,1,1.0,2,1,0,0,0,0,2,113.4
0,1,36.0,2,1,6948,0,2,2,0,2.0,2,35,2,0,1.0,3,1,0,0,0,0,1,187.78378378378378
0,3,12.0,2,4,3059,3,3,0,0,4.0,0,61,2,1,1.0,1,1,0,0,0,0,3,235.30769230769232
1,1,30.0,4,0,5234,0,0,3,0,2.0,2,28,2,1,2.0,3,1,0,0,0,0,0,168.83870967741936
1,1,12.0,2,0,1295,0,1,1,0,1.0,2,25,2,0,1.0,2,1,0,0,0,0,0,99.61538461538461
1,0,48.0,2,9,4308,0,1,1,0,4.0,1,24,2,0,1.0,2,1,0,0,0,0,0,87.91836734693878
0,1,12.0,2,4,1567,0,2,1,0,1.0,2,22,2,1,1.0,2,1,0,0,0,0,0,120.53846153846153
1,0,24.0,4,0,1199,0,4,2,0,4.0,2,60,2,1,2.0,1,1,0,0,0,0,2,47.96
0,0,15.0,2,0,1403,0,2,1,0,4.0,2,28,2,0,1.0,2,1,0,0,0,0,0,87.6875
1,0,24.0,2,4,1282,1,2,1,0,2.0,2,32,2,1,1.0,1,1,0,0,0,0,1,51.28
0,3,24.0,4,4,2424,4,4,2,0,4.0,1,53,2,1,2.0,2,1,0,0,0,0,2,96.96
0,0,30.0,0,9,8072,4,1,2,0,3.0,2,25,0,1,3.0,2,1,0,0,0,0,0,260.38709677419354
1,1,24.0,2,1,12579,0,4,1,0,2.0,3,44,2,2,1.0,3,1,0,0,0,0,1,503.16
0,3,24.0,2,4,3430,2,4,2,0,2.0,2,31,2,1,1.0,2,2,0,0,0,0,1,137.2
0,3,9.0,4,0,2134,0,2,2,0,4.0,2,48,2,1,3.0,2,1,0,0,0,0,2,213.4
0,0,6.0,2,4,2647,2,2,2,0,3.0,0,44,2,0,1.0,2,2,0,0,0,0,1,378.14285714285717
0,0,10.0,4,0,2241,0,1,2,0,3.0,0,48,2,0,2.0,1,2,1,0,0,0,2,203.72727272727272
0,1,12.0,4,1,1804,1,1,2,0,4.0,1,44,2,1,1.0,2,1,0,0,0,0,1,138.76923076923077
0,3,10.0,4,3,2069,4,2,3,0,1.0,2,26,2,1,2.0,2,1,1,0,0,0,0,188.0909090909091
0,0,6.0,2,3,1374,0,2,2,0,2.0,0,36,0,1,1.0,1,1,0,0,0,0,1,196.28571428571428
0,3,6.0,0,4,426,0,4,3,0,4.0,2,39,2,1,1.0,1,1,0,0,0,0,1,60.857142857142854
0,2,12.0,1,4,409,3,2,1,0,3.0,0,42,2,0,2.0,2,1,0,0,0,0,1,31.46153846153846
0,1,7.0,2,4,2415,0,2,2,2,2.0,0,34,2,1,1.0,2,1,0,0,0,0,1,301.875
1,0,60.0,3,9,6836,0,4,2,0,4.0,3,63,2,1,2.0,2,1,0,0,0,0,3,112.06557377049181
0,1,18.0,2,9,1913,3,1,3,0,3.0,0,36,0,1,1.0,2,1,0,0,0,0,1,100.6842105263158
0,0,24.0,2,3,4020,0,2,2,0,2.0,2,27,1,1,1.0,2,1,0,0,0,0,0,160.8
0,1,18.0,2,0,5866,1,2,2,0,2.0,2,30,2,1,2.0,2,1,0,0,0,0,0,308.7368421052632
0,3,12.0,4,9,1264,4,4,2,0,4.0,3,57,2,0,1.0,1,1,0,0,0,0,2,97.23076923076923
0,2,12.0,2,3,1474,0,1,1,0,1.0,1,33,0,1,1.0,3,1,0,0,0,0,1,113.38461538461539
1,1,45.0,4,4,4746,0,1,2,0,2.0,1,25,2,1,2.0,1,1,0,0,0,0,0,103.17391304347827
0,3,48.0,4,7,6110,0,2,2,0,3.0,3,31,0,2,1.0,2,1,0,0,0,0,1,124.6938775510204
1,2,18.0,2,4,2100,0,2,2,1,2.0,0,37,1,1,1.0,2,1,0,0,0,0,1,110.52631578947368
0,2,10.0,2,5,1225,0,2,2,0,2.0,2,37,2,1,1.0,2,1,0,0,0,0,1,111.36363636363636
0,1,9.0,2,4,458,0,2,2,0,3.0,0,24,2,1,1.0,2,1,0,0,0,0,0,45.8
0,3,30.0,2,4,2333,2,4,2,0,2.0,2,30,0,1,1.0,3,1,0,0,0,0,0,75.25806451612904
0,1,12.0,2,4,1158,2,2,0,0,1.0,2,26,2,1,1.0,2,1,0,0,0,0,0,89.07692307692308
0,1,18.0,3,6,6204,0,2,2,0,4.0,0,44,2,1,1.0,1,2,0,0,0,0,1,326.5263157894737
0,0,30.0,4,1,6187,1,3,3,0,4.0,2,24,2,0,2.0,2,1,0,0,0,0,0,199.58064516129033
1,0,48.0,4,1,6143,0,4,1,0,4.0,3,58,1,2,2.0,1,1,0,0,0,0,2,125.36734693877551
0,3,11.0,4,0,1393,0,1,1,0,4.0,2,35,2,1,2.0,3,1,0,0,0,0,1,116.08333333333333
0,3,36.0,2,4,2299,2,4,2,0,4.0,2,39,2,1,1.0,2,1,0,0,0,0,1,62.13513513513514
0,0,6.0,2,1,1352,2,0,1,0,2.0,1,23,2,0,1.0,0,1,0,0,0,0,0,193.14285714285714
0,3,11.0,4,0,7228,0,2,2,0,4.0,1,39,2,1,2.0,1,1,0,0,0,0,1,602.3333333333334
0,3,12.0,2,4,2073,1,2,1,1,2.0,0,28,2,1,1.0,2,1,0,0,0,0,0,159.46153846153845
0,1,24.0,3,3,2333,4,1,2,0,2.0,1,29,0,1,1.0,1,1,0,0,0,0,0,93.32
0,1,27.0,3,1,5965,0,4,2,0,2.0,2,30,2,1,2.0,3,1,0,0,0,0,0,213.03571428571428
0,3,12.0,2,4,1262,0,2,2,0,2.0,2,25,2,1,1.0,2,1,0,0,0,0,0,97.07692307692308
0,3,18.0,2,1,3378,4,2,2,0,1.0,1,31,2,1,1.0,2,1,0,0,0,0,1,177.78947368421052
1,1,36.0,3,0,2225,0,4,2,0,4.0,3,57,0,2,2.0,2,1,0,0,0,0,2,60.13513513513514
0,3,6.0,1,0,783,4,2,2,2,2.0,0,26,1,1,1.0,1,2,0,0,0,0,0,111.85714285714286
1,1,12.0,2,4,6468,4,0,2,0,1.0,3,52,2,1,1.0,3,1,0,0,0,0,2,497.53846153846155
0,3,36.0,4,4,9566,0,2,1,0,2.0,2,31,1,1,2.0,2,1,0,0,0,0,1,258.5405405405405
0,2,18.0,2,0,1961,0,4,1,0,2.0,2,23,2,1,1.0,3,1,0,0,0,0,0,103.21052631578948
1,0,36.0,4,3,6229,0,1,1,1,4.0,3,23,2,0,2.0,1,1,0,0,0,0,0,168.35135135135135
0,1,9.0,2,9,1391,0,2,3,0,1.0,0,27,0,1,1.0,2,1,0,0,0,0,0,139.1
0,1,15.0,4,4,1537,4,4,2,2,4.0,0,50,2,1,2.0,2,1,0,0,0,0,2,96.0625
1,1,36.0,0,9,1953,0,4,2,0,4.0,3,61,2,2,1.0,3,1,0,0,0,0,3,52.78378378378378
1,1,48.0,0,9,14421,0,2,2,0,2.0,2,25,2,1,1.0,2,1,0,0,0,0,0,294.3061224489796
0,3,24.0,2,4,3181,0,1,1,0,4.0,1,26,2,1,1.0,2,1,0,0,0,0,0,127.24
0,3,27.0,2,6,5190,4,4,2,0,3.0,1,48,2,1,4.0,2,2,0,0,1,0,2,185.35714285714286
0,3,12.0,2,4,2171,0,1,1,0,3.0,2,29,0,1,1.0,2,1,0,0,1,0,0,167.0
0,1,12.0,2,0,1007,3,2,3,0,3.0,0,22,2,1,1.0,2,1,0,0,1,0,0,77.46153846153847
1,3,36.0,2,7,1819,0,2,2,0,3.0,3,37,1,2,1.0,2,1,0,0,1,0,1,49.16216216216216
0,3,36.0,2,4,2394,4,2,1,0,3.0,2,25,2,1,1.0,2,1,0,0,1,0,0,64.70270270270271
0,3,36.0,2,1,8133,0,2,1,0,2.0,1,30,0,1,1.0,2,1,0,0,0,0,0,219.8108108108108
0,3,7.0,4,4,730,4,4,2,0,2.0,1,46,2,0,2.0,1,1,0,0,0,0,2,91.25
0,0,8.0,4,2,1164,0,4,2,0,4.0,3,51,0,2,2.0,3,2,0,0,0,0,2,129.33333333333334
0,1,42.0,4,9,5954,0,3,1,0,1.0,0,41,0,1,2.0,1,1,0,0,0,0,1,138.46511627906978
1,0,36.0,2,7,1977,4,4,2,0,4.0,3,40,2,1,1.0,3,1,0,0,0,0,1,53.432432432432435
0,0,12.0,4,1,1526,0,4,2,0,4.0,3,66,2,2,2.0,3,1,0,0,0,0,3,117.38461538461539
1,0,42.0,2,4,3965,0,1,2,0,3.0,2,34,2,1,1.0,2,1,0,0,0,0,1,92.20930232558139
0,1,11.0,3,4,4771,0,3,2,0,4.0,1,51,2,1,1.0,2,1,0,0,0,0,2,397.5833333333333
0,3,54.0,0,1,9436,4,2,2,0,2.0,1,39,2,1,1.0,1,2,0,0,0,0,1,171.56363636363636
0,1,30.0,2,3,3832,0,1,3,0,1.0,1,22,2,1,1.0,2,1,0,0,0,0,0,123.61290322580645
1,3,24.0,2,4,5943,4,1,1,0,1.0,2,44,2,1,2.0,2,1,0,0,0,0,1,237.72
0,3,15.0,2,4,1213,2,4,2,0,3.0,1,47,1,1,1.0,2,1,0,0,0,0,2,75.8125
0,3,18.0,2,9,1568,1,2,1,0,4.0,1,24,2,0,1.0,1,1,0,0,0,0,0,82.52631578947368
0,0,24.0,2,2,1755,0,4,1,2,4.0,0,58,2,1,1.0,1,1,0,0,0,0,2,70.2
0,0,10.0,2,4,2315,0,4,2,0,4.0,0,52,2,1,1.0,1,1,0,0,0,0,2,210.45454545454547
0,3,12.0,4,9,1412,0,2,1,2,2.0,0,29,2,1,2.0,3,1,0,0,0,0,0,108.61538461538461
0,1,18.0,4,3,1295,0,1,1,0,1.0,1,27,2,1,2.0,2,1,0,0,0,0,0,68.15789473684211
1,1,36.0,2,7,12612,1,2,2,0,4.0,3,47,2,2,1.0,2,2,0,0,0,0,2,340.86486486486484
0,0,18.0,2,0,2249,1,3,2,0,3.0,2,30,2,1,1.0,3,2,0,0,0,0,0,118.36842105263158
1,0,12.0,0,6,1108,0,3,2,0,3.0,0,28,2,1,2.0,2,1,0,0,0,0,0,85.23076923076923
0,3,12.0,4,4,618,0,4,2,0,4.0,0,56,2,1,1.0,2,1,0,0,0,0,2,47.53846153846154
0,0,12.0,4,1,1409,0,4,2,0,3.0,0,54,2,1,1.0,2,1,0,0,0,0,2,108.38461538461539
1,3,12.0,4,4,797,4,4,1,0,3.0,1,33,0,1,1.0,1,2,0,0,0,0,1,61.30769230769231
0,2,24.0,4,3,3617,4,4,2,1,4.0,3,20,2,0,2.0,2,1,0,0,0,0,0,144.68
0,1,12.0,2,0,1318,3,4,2,0,4.0,0,54,2,1,1.0,2,1,0,0,0,0,2,101.38461538461539
1,1,54.0,0,9,15945,0,1,2,0,4.0,3,58,2,0,1.0,2,1,0,0,0,0,2,289.90909090909093
0,3,12.0,4,7,2012,4,3,1,0,2.0,2,61,2,1,1.0,2,1,0,0,0,0,3,154.76923076923077
0,1,18.0,2,9,2622,1,2,2,0,4.0,2,34,2,1,1.0,2,1,0,0,0,0,1,138.0
0,1,36.0,4,4,2337,0,4,2,0,4.0,0,36,2,1,1.0,2,1,0,0,0,0,1,63.16216216216216
0,1,20.0,3,1,7057,4,3,2,0,4.0,1,36,0,0,2.0,3,2,0,0,0,0,1,336.04761904761904
0,3,24.0,2,0,1469,1,4,3,0,4.0,0,41,2,0,1.0,1,1,0,0,0,0,1,58.76
0,1,36.0,2,4,2323,0,3,2,0,4.0,2,24,2,0,1.0,2,1,0,0,0,0,0,62.78378378378378
0,3,6.0,3,4,932,0,2,1,0,2.0,0,24,2,1,1.0,2,1,0,0,0,0,0,133.14285714285714
0,1,9.0,4,3,1919,0,3,2,0,3.0,2,35,2,0,1.0,2,1,0,0,0,0,1,191.9
0,3,12.0,2,1,2445,4,1,3,0,4.0,2,26,2,0,1.0,2,1,0,0,0,0,0,188.07692307692307
1,1,24.0,4,2,11938,0,2,2,1,3.0,2,39,2,1,2.0,3,2,0,0,0,0,1,477.52
1,3,18.0,1,0,6458,0,4,2,0,4.0,3,39,0,1,2.0,3,2,0,0,0,0,1,339.89473684210526
0,1,12.0,2,0,6078,0,3,2,0,2.0,2,32,2,1,1.0,2,1,0,0,0,0,1,467.53846153846155
0,0,24.0,2,3,7721,4,1,1,0,2.0,1,30,2,1,1.0,2,1,1,0,0,0,0,308.84
0,1,14.0,2,9,1410,2,4,3,0,2.0,0,35,2,1,1.0,2,1,0,0,0,0,1,94.0
0,1,6.0,3,9,1449,1,4,0,0,2.0,2,31,0,1,2.0,2,2,0,0,0,0,1,207.0
0,2,15.0,2,7,392,0,1,1,0,4.0,1,23,2,0,1.0,2,1,0,0,0,0,0,24.5
0,1,18.0,2,0,6260,0,3,2,0,3.0,0,28,2,0,1.0,1,1,0,0,0,0,0,329.4736842105263
1,3,36.0,4,0,7855,0,2,1,0,2.0,0,25,1,1,2.0,2,1,0,0,0,0,0,212.2972972972973
0,0,12.0,2,4,1680,2,4,3,0,1.0,0,35,2,1,1.0,2,1,0,0,0,0,1,129.23076923076923
0,3,48.0,4,4,3578,4,4,2,0,1.0,0,47,2,1,1.0,2,1,0,0,0,0,2,73.0204081632653
1,0,42.0,2,4,7174,4,3,1,0,3.0,2,30,2,1,1.0,3,1,0,0,0,0,0,166.8372093023256
0,0,10.0,4,3,2132,4,1,1,1,3.0,0,27,2,0,2.0,2,1,1,0,0,0,0,193.8181818181818
1,0,33.0,4,3,4281,2,2,1,0,4.0,2,23,2,1,2.0,2,1,0,0,0,0,0,125.91176470588235
0,1,12.0,4,0,2366,2,3,0,0,3.0,2,36,2,1,1.0,3,1,0,0,0,0,1,182.0
1,0,21.0,2,4,1835,0,2,1,0,2.0,0,25,2,1,2.0,2,1,0,0,0,0,0,83.4090909090909
0,3,24.0,4,1,3868,0,4,1,0,2.0,2,41,2,0,2.0,3,1,0,0,0,0,1,154.72
0,3,12.0,2,3,1768,0,2,2,0,2.0,0,24,2,0,1.0,1,1,0,0,0,0,0,136.0
0,2,10.0,4,0,781,0,4,2,0,4.0,3,63,2,2,2.0,2,1,0,0,0,0,3,71.0
1,1,18.0,2,3,1924,4,1,1,0,3.0,0,27,2,0,1.0,2,1,0,0,0,0,0,101.26315789473684
0,0,12.0,4,0,2121,0,2,2,0,2.0,1,30,2,1,2.0,2,1,0,0,0,0,0,163.15384615384616
0,0,12.0,2,4,701,0,2,3,0,2.0,0,40,2,1,1.0,1,1,0,0,0,0,1,53.92307692307692
1,1,12.0,2,6,639,0,2,2,0,2.0,2,30,2,1,1.0,2,1,0,0,0,0,0,49.15384615384615
0,1,12.0,4,1,1860,0,0,2,0,2.0,2,34,2,1,2.0,3,1,0,0,0,0,1,143.07692307692307
1,0,12.0,4,0,3499,0,2,1,1,2.0,0,29,2,1,2.0,2,1,0,0,0,0,0,269.15384615384613
0,1,48.0,2,0,8487,4,3,1,0,2.0,2,24,2,1,1.0,2,1,0,0,0,0,0,173.20408163265307
1,0,36.0,3,7,6887,0,2,2,0,3.0,1,29,1,1,1.0,2,1,0,0,1,0,0,186.13513513513513
0,3,15.0,2,3,2708,0,1,2,0,3.0,1,27,0,1,2.0,1,1,0,0,0,0,0,169.25
0,3,18.0,2,3,1984,0,2,2,0,4.0,3,47,0,2,2.0,2,1,0,0,0,0,2,104.42105263157895
0,3,60.0,2,4,10144,1,5,1,0,4.0,0,21,2,1,1.0,2,1,0,0,0,0,0,166.29508196721312
0,3,12.0,4,4,1240,4,4,1,0,2.0,0,38,2,1,2.0,2,1,0,0,0,0,1,95.38461538461539
0,3,27.0,3,1,8613,3,2,2,0,2.0,2,27,2,1,2.0,2,1,0,0,0,0,0,307.60714285714283
1,1,12.0,2,4,766,2,2,2,0,3.0,0,66,2,1,1.0,1,1,0,0,0,0,3,58.92307692307692
0,1,15.0,4,4,2728,4,3,2,2,2.0,0,35,0,1,3.0,2,1,0,0,0,0,1,170.5
0,2,12.0,2,4,1881,0,2,1,0,2.0,2,44,2,0,1.0,1,1,0,0,0,0,1,144.69230769230768
0,2,6.0,2,0,709,3,1,3,0,2.0,0,27,2,1,1.0,0,1,1,0,0,0,0,101.28571428571429
0,1,36.0,2,4,4795,0,1,1,0,1.0,3,30,2,1,1.0,3,1,0,0,0,0,0,129.59459459459458
0,0,27.0,2,4,3416,0,2,2,0,2.0,2,27,2,1,1.0,3,1,0,0,0,0,0,122.0
1,0,18.0,2,3,2462,0,2,2,0,2.0,2,22,2,1,1.0,2,1,0,0,0,0,0,129.57894736842104
0,3,21.0,4,3,2288,0,1,1,0,4.0,1,23,2,1,1.0,2,1,0,0,0,0,0,104.0
0,1,48.0,1,9,3566,1,3,2,0,2.0,2,30,2,1,1.0,2,1,0,0,0,0,0,72.77551020408163
0,0,6.0,4,0,860,0,4,1,0,4.0,3,39,2,1,2.0,2,1,0,0,0,0,1,122.85714285714286
0,3,12.0,4,0,682,1,3,1,0,3.0,2,51,2,1,2.0,2,1,0,0,0,0,2,52.46153846153846
0,0,36.0,4,3,5371,0,2,2,2,2.0,1,28,2,1,2.0,2,1,0,0,0,0,0,145.16216216216216
0,3,18.0,4,4,1582,3,4,2,0,4.0,2,46,2,1,2.0,2,1,0,0,0,0,2,83.26315789473684
0,3,6.0,2,4,1346,1,4,2,0,4.0,3,42,0,2,1.0,2,2,0,0,0,0,1,192.28571428571428
0,3,10.0,2,4,1924,0,2,2,0,4.0,1,38,2,1,1.0,2,1,1,0,0,0,1,174.9090909090909
0,2,36.0,2,4,5848,0,2,2,0,1.0,2,24,2,1,1.0,2,1,0,0,0,0,0,158.05405405405406
0,1,24.0,4,1,7758,3,4,1,0,4.0,3,29,2,0,1.0,2,1,0,0,0,0,0,310.32
0,1,24.0,3,9,6967,1,3,2,0,4.0,2,36,2,0,1.0,3,1,0,0,0,0,1,278.68
1,0,12.0,2,3,1282,0,2,1,0,4.0,2,20,2,0,1.0,2,1,0,0,0,0,0,98.61538461538461
0,0,9.0,4,6,1288,1,4,2,2,4.0,0,48,2,1,2.0,2,2,1,0,0,0,2,128.8
0,0,12.0,1,8,339,0,4,3,0,1.0,2,45,0,1,1.0,1,1,0,0,0,0,1,26.076923076923077
0,1,24.0,2,0,3512,1,3,2,0,3.0,2,38,0,1,2.0,2,1,0,0,0,0,1,140.48
0,3,6.0,4,4,1898,4,2,2,0,2.0,0,34,2,1,2.0,1,2,0,0,0,0,1,271.14285714285717
0,3,24.0,4,4,2872,1,4,2,0,4.0,0,36,2,1,1.0,2,2,0,0,0,0,1,114.88
0,3,18.0,4,0,1055,0,1,1,0,1.0,1,30,2,1,2.0,2,1,0,0,0,0,0,55.526315789473685
0,3,15.0,2,5,1262,2,3,2,0,3.0,1,36,2,1,2.0,2,1,0,0,0,0,1,78.875
0,1,10.0,2,0,7308,0,0,2,0,4.0,3,70,0,2,1.0,3,1,0,0,0,0,3,664.3636363636364
0,3,36.0,2,0,909,2,4,2,0,4.0,1,36,2,1,1.0,2,1,0,0,0,0,1,24.56756756756757
0,3,6.0,2,3,2978,2,2,2,0,2.0,2,32,2,1,1.0,2,1,0,0,0,0,1,425.42857142857144
1,0,18.0,2,3,1131,0,0,1,0,2.0,2,33,2,1,1.0,2,1,0,0,0,0,1,59.526315789473685
0,1,11.0,2,3,1577,3,1,1,0,1.0,0,20,2,1,1.0,2,1,0,0,0,0,0,131.41666666666666
0,3,24.0,2,3,3972,0,3,1,0,4.0,1,25,2,0,1.0,2,1,0,0,0,0,0,158.88
1,1,24.0,4,9,1935,0,4,0,0,4.0,0,31,2,1,2.0,2,1,0,0,0,0,1,77.4
1,0,15.0,0,0,950,0,4,2,0,3.0,2,33,2,0,2.0,2,2,0,0,0,0,1,59.375
0,3,12.0,2,3,763,0,2,1,0,1.0,0,26,2,1,1.0,2,1,0,0,0,0,0,58.69230769230769
1,1,24.0,3,3,2064,0,0,1,0,2.0,1,34,2,1,1.0,3,1,0,0,0,0,1,82.56
0,1,8.0,2,4,1414,0,2,2,2,2.0,0,33,2,1,1.0,2,1,1,0,0,0,1,157.11111111111111
1,0,21.0,3,7,3414,0,1,2,0,1.0,1,26,2,1,2.0,2,1,0,0,0,0,0,155.1818181818182
1,3,30.0,1,1,7485,4,0,1,0,1.0,0,53,0,1,1.0,3,1,0,0,0,0,2,241.4516129032258
0,0,12.0,2,3,2577,0,2,0,0,1.0,2,42,2,1,1.0,2,1,0,0,0,0,1,198.23076923076923
0,0,6.0,4,4,338,2,4,2,0,4.0,2,52,2,1,2.0,2,1,0,0,0,0,2,48.285714285714285
0,3,12.0,2,4,1963,0,3,2,0,2.0,2,31,2,0,2.0,3,2,0,0,0,0,1,151.0
0,0,21.0,4,0,571,0,4,2,0,4.0,0,65,2,1,2.0,2,1,0,0,0,0,3,25.954545454545453
1,3,36.0,3,9,9572,0,1,0,0,1.0,2,28,2,1,2.0,2,1,0,0,0,0,0,258.7027027027027
1,1,36.0,3,9,4455,0,2,0,0,2.0,0,30,1,1,2.0,3,1,0,0,0,0,0,120.4054054054054
1,0,21.0,1,0,1647,4,2,2,0,2.0,1,40,2,1,2.0,1,2,0,0,0,0,1,74.86363636363636
0,3,24.0,4,3,3777,3,2,2,0,4.0,0,50,2,1,1.0,2,1,0,0,0,0,2,151.08
1,1,18.0,4,0,884,0,4,2,0,4.0,2,36,0,1,1.0,2,2,0,0,0,0,1,46.526315789473685
0,3,15.0,4,4,1360,0,2,2,0,2.0,1,31,2,1,2.0,2,1,0,0,0,0,1,85.0
1,1,9.0,1,1,5129,0,4,1,0,4.0,3,74,0,2,1.0,3,2,0,0,0,0,3,512.9
0,1,16.0,4,0,1175,0,0,2,0,3.0,2,68,2,2,3.0,0,1,0,0,0,0,3,69.11764705882354
1,0,12.0,2,4,674,1,3,3,0,1.0,1,20,2,1,1.0,2,1,0,0,0,0,0,51.84615384615385
0,1,18.0,0,3,3244,0,2,1,0,4.0,2,33,0,1,2.0,2,1,0,0,0,0,1,170.73684210526315
1,3,24.0,2,9,4591,3,2,2,0,3.0,1,54,2,1,3.0,3,1,0,0,0,0,2,183.64
1,1,48.0,0,9,3844,1,3,2,0,4.0,3,34,2,2,1.0,1,2,0,0,0,0,1,78.44897959183673
1,1,27.0,2,9,3915,0,2,2,0,2.0,2,36,2,1,1.0,2,2,0,0,0,0,1,139.82142857142858
0,3,6.0,2,4,2108,0,3,3,0,2.0,0,29,2,0,1.0,2,1,0,0,0,0,0,301.14285714285717
